bm_1024_dangling_4_ovs_fwd_ct_500
Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
ens4f0-RX Gbit/s,9.00,8.82,8.84,8.90,9.27,8.93,9.41,9.14,9.29,9.25,9.02,8.96,8.94,9.36,9.19,9.27,9.11,9.41,9.19,9.11,9.23,9.10,9.01,9.18,9.57,9.31,9.59,9.32,9.49,9.47,9.34,9.63,9.26,9.08,8.89,8.91,8.93,8.90,9.02,9.05,9.07,9.04,9.25,9.03,9.03,9.11,8.85,9.18,9.13,9.36,9.23,8.96,9.04,9.56,9.03,9.63,9.12,9.12,9.07,8.98,8.74,9.11,9.08,8.98,8.86,8.91,9.19,9.31,9.18,9.29,9.28,9.37,9.41,9.15,9.84,9.41,9.63,9.26,9.28,9.45,8.89,9.83,9.77,9.28,9.12,9.66,9.09,9.36,8.87,8.86,9.07,9.33,9.01,9.03,9.07,8.96,8.92,8.79,8.96,9.09,9.09,9.10,9.18,8.88,8.97,8.67,8.82,9.02,9.19,8.74,9.22,9.09,8.99,8.98,
ens4f0 packet dropped,548510,528144,543019,547127,559498,520742,558629,544885,562458,532455,497240,512118,516742,533237,527750,548406,541243,550874,550776,558269,592283,591883,585331,585150,615004,613852,639445,621941,644469,629187,621233,611500,566906,562298,553483,522550,512210,524043,519067,528720,522273,533975,538854,540927,529922,530473,525761,526453,557053,571260,556155,577626,564174,560740,552485,594267,583823,576117,638077,639995,624011,616916,647653,632007,628138,587337,584373,581453,533036,547286,549559,562813,560795,547915,586805,550183,577065,551558,545352,543223,506075,582454,574220,557250,553783,606176,574979,556501,551870,551793,569969,579051,566859,556015,523493,531639,527061,513650,519458,532899,531523,528545,514298,521174,515463,507340,513572,517180,510876,560578,567433,575531,586456,571988,
ens4f1-TX Gbit/s,4.43,4.41,4.31,4.34,4.60,4.59,4.75,4.60,4.60,4.81,4.88,4.71,4.64,4.77,4.80,4.71,4.60,4.81,4.61,4.45,4.29,4.16,4.13,4.31,4.44,4.20,4.26,4.13,4.12,4.23,4.15,4.47,4.48,4.40,4.48,4.55,4.66,4.53,4.69,4.64,4.72,4.59,4.76,4.52,4.61,4.69,4.47,4.80,4.49,4.60,4.59,4.14,4.34,4.89,4.42,4.68,4.25,4.32,3.75,3.65,3.54,3.97,3.68,3.71,3.62,4.02,4.35,4.34,4.73,4.74,4.70,4.69,4.74,4.58,4.95,4.82,4.81,4.66,4.73,4.93,4.68,5.00,4.96,4.65,4.49,4.49,4.31,4.76,4.40,4.26,4.32,4.51,4.29,4.39,4.71,4.53,4.53,4.51,4.63,4.65,4.66,4.70,4.90,4.53,4.67,4.44,4.54,4.71,4.93,4.07,4.49,4.29,4.10,4.21,
ens4f1 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU BM(0-19) Total,19.59,28.48,22.92,22.48,23.88,24.25,24.72,23.89,25.16,26.57,28.05,25.05,25.94,24.76,23.64,23.38,22.82,22.44,22.85,22.84,25.64,23.80,24.21,21.53,22.87,23.93,24.59,25.17,25.65,23.23,25.11,23.92,22.68,24.92,24.43,23.47,24.16,21.94,24.15,23.99,24.81,24.67,22.67,26.07,23.29,25.52,23.99,21.91,24.65,21.92,25.96,25.58,27.28,27.30,22.92,23.46,24.69,25.57,25.98,27.12,24.16,23.51,23.55,24.70,25.22,23.75,24.27,25.38,24.18,23.24,22.85,23.93,24.06,23.87,23.19,23.41,25.24,23.80,25.03,23.85,24.25,23.57,23.86,24.07,26.03,22.96,25.68,22.95,22.87,26.16,23.73,23.14,22.93,22.37,28.08,22.72,24.54,23.68,23.46,23.13,23.12,22.98,24.18,23.17,24.56,24.21,23.51,24.56,22.46,22.30,25.31,24.96,23.15,25.36,25.53,
cpu-0 Total,27.36,51.02,43.00,41.41,40.82,41.58,44.44,42.27,45.45,42.86,43.88,44.90,43.88,42.00,41.00,40.82,40.82,39.80,40.00,41.41,39.39,39.80,40.40,38.78,39.00,41.41,42.00,42.00,43.43,41.00,41.41,42.42,41.41,42.42,41.41,40.40,42.42,40.00,40.40,42.00,40.40,41.84,42.00,42.42,42.00,42.86,40.82,42.00,41.00,42.00,44.44,45.10,46.46,42.86,41.24,45.45,45.36,47.52,46.94,47.00,43.43,43.43,41.41,45.45,43.43,44.55,42.16,41.84,45.00,42.42,40.82,40.82,41.00,40.40,42.57,39.39,43.43,41.24,43.56,40.21,41.41,42.27,41.41,44.44,43.43,41.58,41.84,41.41,41.00,46.08,42.42,41.41,41.84,41.84,44.44,41.41,43.00,44.00,40.82,43.14,40.82,41.84,41.84,43.00,42.42,46.00,41.00,43.00,39.80,42.00,42.86,44.33,41.41,44.90,43.43,
cpu-10 Total,1.01,1.98,1.00,0.99,0.00,1.96,0.00,1.00,0.00,0.00,6.54,0.00,1.00,0.00,0.00,1.98,0.00,0.00,0.00,1.00,0.00,0.99,1.00,0.00,0.99,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,2.00,2.00,1.00,0.00,1.00,0.00,1.00,1.00,1.98,1.00,0.00,1.00,1.00,0.00,0.99,0.00,1.96,1.00,0.99,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,2.00,0.99,0.00,1.00,0.00,1.98,0.00,0.00,0.00,1.00,1.00,1.00,0.99,0.00,0.00,0.00,1.98,0.00,1.00,1.98,0.00,2.00,0.00,0.00,1.98,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.98,0.00,1.00,0.00,0.00,0.00,1.00,0.99,0.00,0.00,1.96,0.00,0.00,0.00,
cpu-11 Total,2.94,1.98,0.00,1.00,0.00,1.98,1.01,1.00,0.99,5.71,1.00,1.98,1.98,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.01,1.98,1.00,0.00,1.00,1.00,1.00,0.00,1.01,2.00,1.00,1.00,1.98,1.00,0.00,0.99,1.00,1.00,1.00,2.00,1.00,1.98,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.98,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.98,1.01,0.00,0.00,1.00,1.00,0.00,0.99,1.00,0.00,1.00,0.99,0.00,0.00,1.00,1.00,1.00,0.99,0.00,1.00,0.99,0.00,0.00,1.00,1.00,0.99,1.00,1.00,0.00,1.00,0.00,2.00,1.98,0.00,1.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.98,0.00,
cpu-12 Total,31.00,1.00,0.99,1.00,0.00,1.00,1.00,0.00,0.99,1.00,0.00,0.00,0.00,0.00,1.00,1.01,1.00,1.00,1.00,0.00,0.99,1.98,0.00,1.00,2.00,1.01,0.99,1.00,0.00,0.00,5.71,0.00,1.00,1.00,0.00,1.00,1.00,0.99,0.00,1.98,0.00,1.01,1.01,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.96,0.00,1.98,1.00,1.98,0.00,0.00,2.00,0.00,1.00,0.00,1.00,1.98,1.00,0.00,0.00,0.00,1.00,0.99,0.00,0.00,1.98,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.98,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.96,1.00,0.99,1.00,1.00,0.00,1.98,1.98,0.00,0.99,1.00,0.00,0.00,0.00,1.96,1.00,0.00,1.00,1.00,0.00,1.01,1.00,0.00,0.00,1.98,0.00,
cpu-13 Total,1.00,1.01,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.99,1.98,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.98,0.00,1.01,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.98,0.00,1.98,1.00,1.00,1.00,1.00,1.98,0.00,1.00,0.00,0.99,1.00,0.00,1.98,1.00,1.00,1.00,0.00,0.00,0.99,0.00,1.00,0.00,0.00,0.00,1.98,1.00,1.00,1.00,1.00,1.98,1.00,1.00,0.00,1.00,1.01,0.00,1.98,0.00,1.00,0.00,0.00,1.00,1.00,0.99,0.00,0.99,1.00,0.00,0.00,0.00,1.98,0.00,1.00,0.00,0.99,1.00,0.99,0.00,0.00,0.00,1.98,0.00,0.00,1.00,0.99,0.00,0.00,1.00,0.00,1.00,0.99,1.00,1.00,1.98,0.99,1.00,1.01,1.00,0.00,
cpu-14 Total,3.00,0.99,0.00,0.00,0.00,1.98,0.00,1.98,0.00,1.00,0.00,0.99,1.00,0.99,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.01,0.99,1.00,0.00,5.71,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.99,1.00,0.00,0.00,0.00,1.00,0.00,2.94,1.00,0.00,0.00,1.00,0.00,0.99,0.00,1.00,2.94,1.98,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.98,0.00,0.00,1.00,1.00,1.00,1.98,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.99,0.00,1.00,1.98,0.00,1.00,0.00,1.01,0.00,1.98,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
cpu-15 Total,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.01,0.00,0.00,0.99,1.00,1.98,0.00,1.00,0.99,0.00,1.98,0.00,1.00,0.00,0.00,1.96,1.98,0.00,1.00,1.00,0.99,0.00,0.00,0.00,0.00,1.00,1.98,1.00,1.98,0.00,1.00,1.96,1.00,0.00,1.01,0.99,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.99,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.98,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.98,0.00,0.99,0.00,1.98,0.00,1.00,1.00,1.00,0.99,0.00,1.98,0.00,0.00,0.99,1.00,1.00,0.99,0.00,0.00,1.98,0.00,2.94,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.99,1.00,1.00,1.00,1.00,0.00,1.00,0.00,
cpu-16 Total,2.02,1.01,1.00,1.98,1.01,1.00,1.00,1.00,0.99,1.01,2.00,1.00,1.00,0.99,2.00,1.98,1.00,2.00,1.00,1.00,1.98,1.98,1.00,1.00,1.00,1.98,1.00,0.99,0.00,1.00,1.00,1.00,1.00,0.00,1.01,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.98,0.00,1.00,0.00,1.00,1.00,1.00,1.98,1.98,0.99,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.01,1.01,1.00,1.00,1.00,1.00,0.00,0.00,1.98,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.99,0.00,0.00,1.00,0.00,0.00,0.00,0.99,0.00,1.00,0.00,1.00,0.00,0.00,1.98,1.00,0.00,0.00,1.00,0.00,0.99,0.00,
