bm_1024_dangling_8_ovs_fwd_500
Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
ens4f0-RX Gbit/s,10.34,8.83,9.06,8.86,8.68,8.99,9.09,9.43,9.44,10.14,9.18,9.30,9.30,9.63,9.58,9.75,9.38,9.57,9.66,10.32,9.36,9.70,9.21,9.78,9.30,9.28,9.50,9.38,9.92,9.78,9.51,9.19,9.28,9.22,9.24,9.13,9.21,8.96,9.34,9.34,9.11,9.27,9.39,9.21,9.30,9.24,9.10,9.08,9.10,9.19,9.26,10.17,8.82,9.03,9.22,9.04,8.93,8.93,9.28,9.35,10.28,9.05,8.83,9.38,9.25,9.27,9.52,9.41,9.48,9.29,9.56,9.31,9.32,9.44,9.47,9.56,9.62,9.82,9.49,9.38,9.37,9.78,8.91,9.02,9.25,8.90,9.20,9.08,9.03,8.75,8.66,8.98,8.73,9.01,8.92,8.90,9.05,8.90,8.90,9.05,8.74,8.75,9.12,9.08,9.18,9.11,9.29,8.97,8.80,8.83,8.91,8.85,8.70,8.96,
ens4f0 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ens4f1-TX Gbit/s,10.34,8.83,9.06,8.86,8.68,8.99,9.09,9.43,9.44,10.14,9.20,9.38,9.30,9.63,9.58,9.76,9.38,9.57,9.68,10.31,9.36,9.69,9.22,9.78,9.32,9.27,9.50,9.38,9.91,9.76,9.46,9.18,9.28,9.22,9.22,9.13,9.21,8.96,9.34,9.34,9.11,9.27,9.39,9.21,9.30,9.24,9.10,9.08,9.10,9.19,9.26,10.17,8.82,9.03,9.22,9.04,8.93,8.93,9.28,9.35,10.28,9.05,8.83,9.52,9.23,9.27,9.52,9.41,9.48,9.28,9.56,9.31,9.33,9.43,9.48,9.56,9.62,9.81,9.49,9.38,9.37,9.71,8.89,9.02,9.25,8.90,9.20,9.07,9.03,8.75,8.66,8.98,8.73,9.01,8.92,8.90,9.05,8.90,8.90,9.05,8.74,8.75,9.12,9.08,9.18,9.11,9.29,8.97,8.80,8.83,8.91,8.85,8.70,8.96,
ens4f1 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU BM(0-19) Total,11.87,13.11,13.55,11.04,11.32,12.82,12.21,11.97,11.81,11.54,12.57,12.26,11.88,12.33,12.86,12.71,14.99,13.93,12.43,12.04,11.86,13.31,12.10,12.39,13.54,12.24,11.32,9.53,10.47,10.44,10.80,9.99,9.57,9.34,10.11,9.30,10.03,11.27,9.55,9.65,9.70,9.80,8.83,9.66,10.44,9.82,9.99,8.73,11.03,9.76,11.55,11.01,10.42,7.85,6.49,7.31,11.61,9.22,7.92,10.76,11.76,10.11,12.69,9.58,10.30,10.49,11.27,8.97,9.40,10.32,9.99,11.68,10.76,12.77,10.51,11.49,9.45,12.83,11.77,11.50,12.86,13.39,12.24,11.31,8.49,8.88,11.57,10.78,10.03,8.01,7.39,9.34,8.57,8.11,7.48,9.68,9.28,9.84,9.79,8.94,7.54,9.16,7.68,10.97,8.64,11.36,12.79,11.30,10.18,10.60,10.65,8.80,8.85,9.99,8.49,
cpu-0 Total,10.00,15.22,17.53,8.79,11.83,14.43,11.70,16.33,12.77,10.87,14.58,13.83,8.79,10.75,13.54,16.33,12.90,15.62,14.58,11.83,11.83,15.79,10.87,10.00,14.58,12.90,10.87,10.87,11.83,12.77,12.77,13.83,10.87,12.90,8.99,13.83,17.17,16.33,13.54,13.54,14.58,12.63,9.78,14.58,13.68,12.90,10.87,15.31,12.90,10.87,10.87,7.87,9.89,8.99,6.74,8.79,10.75,10.87,10.87,14.43,11.96,8.99,16.84,10.87,9.89,12.77,13.68,10.75,9.89,8.89,12.63,8.79,6.74,9.89,10.75,11.83,10.87,16.33,12.77,10.00,12.90,12.90,12.77,11.83,9.78,11.83,8.99,9.89,12.77,14.58,9.78,8.70,8.70,9.68,8.70,17.00,8.79,11.70,9.78,10.75,8.70,11.58,8.79,10.75,7.87,14.74,13.04,13.04,9.89,12.90,8.79,11.70,10.75,14.43,14.43,
cpu-10 Total,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,2.00,1.00,0.00,0.00,1.98,1.00,0.00,1.00,1.98,1.01,0.00,0.99,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.01,1.98,0.00,2.94,0.00,1.98,1.98,0.00,1.00,1.00,1.00,1.00,1.98,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.99,1.00,0.00,1.00,1.00,1.00,0.00,1.98,0.00,1.00,1.00,0.99,0.00,1.00,0.00,1.00,0.99,0.00,1.00,1.00,0.00,1.98,0.99,1.00,1.00,1.00,0.00,0.99,1.00,0.00,1.98,0.99,0.00,1.00,1.00,1.00,1.00,1.98,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.99,0.00,1.00,0.00,0.00,1.00,0.00,1.02,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.99,
cpu-11 Total,0.00,3.03,2.04,2.04,1.03,2.04,3.03,3.00,2.04,2.04,3.06,1.04,2.04,1.03,1.02,2.04,3.03,1.03,3.03,2.04,3.03,3.03,3.03,2.04,1.03,3.00,1.03,3.03,1.02,4.00,4.95,2.04,2.02,1.03,2.04,1.03,0.00,3.03,3.03,1.03,3.03,2.04,2.02,1.03,3.03,4.04,2.04,3.03,4.00,3.03,1.03,2.02,0.00,0.00,1.02,3.03,1.03,1.03,1.03,1.02,2.04,3.03,4.00,1.03,1.02,1.03,0.00,3.03,3.03,3.03,2.04,3.00,3.06,3.00,2.04,3.00,2.04,3.03,3.03,3.06,4.00,4.00,3.00,1.03,2.04,2.02,1.03,1.03,1.03,1.03,2.02,1.03,1.03,1.02,2.04,0.00,1.03,0.00,1.03,1.03,0.00,2.02,1.02,2.04,2.04,2.04,4.00,2.04,1.03,3.00,0.00,0.00,1.02,1.03,1.02,
cpu-12 Total,1.98,0.00,1.00,1.98,0.00,0.00,1.98,1.98,1.00,0.00,2.94,0.00,1.00,1.00,0.00,1.01,2.00,2.00,1.00,1.00,1.00,0.99,1.98,0.00,1.01,0.00,0.99,1.00,1.00,1.00,0.00,1.01,0.00,0.00,1.00,0.00,1.00,1.00,0.99,0.00,1.00,0.00,1.98,1.98,0.00,0.00,1.98,1.00,1.00,0.00,0.99,1.00,1.00,0.00,1.00,0.00,0.00,1.98,0.00,1.00,1.98,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.96,1.98,1.00,1.00,0.99,0.00,1.00,0.00,0.00,1.00,0.99,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.98,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.98,0.00,1.01,1.00,1.96,1.00,0.00,1.98,1.00,1.98,2.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,
cpu-13 Total,1.00,1.00,0.99,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.98,0.00,1.00,1.00,2.97,1.00,1.98,0.00,0.00,1.98,1.00,0.00,1.98,1.00,1.00,1.00,0.00,1.98,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.98,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.98,1.98,0.00,1.98,0.00,0.00,1.00,1.98,1.00,1.00,1.00,1.00,1.00,1.98,1.00,1.00,0.00,1.00,1.98,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.98,0.99,1.00,1.00,0.00,1.00,0.00,0.99,1.00,0.00,1.00,1.00,1.00,1.00,0.99,1.00,1.00,0.00,1.98,1.00,1.00,1.00,1.00,0.99,1.00,0.99,1.00,0.00,1.00,1.00,1.00,1.01,2.94,1.98,0.00,1.00,1.00,1.00,1.00,1.00,
cpu-14 Total,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.98,0.99,1.00,1.96,1.98,0.00,1.00,0.00,0.00,1.98,0.99,1.00,1.00,0.00,0.00,1.00,0.00,1.96,1.00,0.00,0.00,1.00,0.99,1.00,1.00,0.00,1.98,0.00,0.00,0.00,0.00,1.00,0.99,1.00,1.00,0.00,1.96,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,1.00,0.00,0.00,0.99,1.00,1.00,1.00,1.98,0.00,1.01,1.00,0.00,1.98,1.00,1.00,0.00,1.01,0.00,0.99,1.98,0.00,2.00,1.00,1.00,0.00,1.98,1.00,0.99,0.00,1.00,1.00,1.00,0.00,0.99,1.00,1.98,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,2.97,1.00,1.00,0.99,1.00,0.00,0.99,1.00,1.00,
cpu-15 Total,2.94,0.00,1.01,1.00,1.00,2.00,1.00,0.00,0.00,1.01,1.00,0.00,1.96,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.98,1.00,0.00,0.00,1.00,1.98,0.00,0.00,1.00,1.00,0.99,0.00,0.99,1.98,1.00,0.00,0.00,1.98,0.99,0.00,0.00,1.98,1.00,1.00,1.96,0.00,0.00,1.00,1.98,0.99,1.00,1.98,0.00,0.00,0.99,0.00,1.00,1.00,0.00,1.00,0.99,1.00,1.00,1.00,1.98,0.99,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,2.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.98,1.01,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,2.94,1.01,0.99,0.00,0.00,1.00,0.00,1.00,0.00,
cpu-16 Total,1.98,0.00,0.99,0.00,0.00,1.00,0.00,1.01,1.00,0.00,1.00,1.98,1.00,0.00,1.00,1.01,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.98,1.00,0.00,1.00,1.98,1.00,0.99,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.98,1.00,1.00,1.00,0.00,1.98,1.98,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.98,0.99,0.00,1.00,0.99,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,1.00,1.00,1.00,1.00,0.00,1.98,0.00,1.98,1.00,0.00,1.98,0.00,1.98,1.00,1.00,0.00,1.00,0.99,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.99,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.98,1.01,2.00,1.00,0.99,1.00,1.00,0.00,0.00,0.00,
