bm_4096_dangling_8_linux_fwd_500
Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
ens4f0-RX Gbit/s,8.42,8.67,8.59,9.21,8.57,8.86,8.66,8.88,8.93,8.83,8.44,8.73,9.42,8.71,9.38,9.21,9.34,9.13,9.47,10.28,8.93,9.15,8.90,9.06,8.74,8.89,8.99,9.17,8.89,9.20,9.40,9.37,8.67,8.75,8.76,8.59,8.53,8.46,8.44,8.43,8.45,8.62,8.68,8.71,8.58,8.83,8.76,8.95,8.80,8.72,8.98,9.26,9.16,8.62,8.62,8.96,8.63,8.51,8.74,8.82,8.55,8.87,8.94,8.52,9.05,9.48,9.31,8.95,9.45,9.34,9.28,9.63,9.10,8.92,9.55,9.26,9.45,9.27,9.29,9.48,9.23,8.74,8.88,8.64,8.83,8.68,8.88,9.01,9.35,8.68,8.48,8.74,8.64,8.75,8.74,8.67,8.79,8.66,8.71,8.89,8.64,8.48,8.74,8.95,8.53,8.57,8.82,8.72,8.91,9.03,9.64,8.55,8.61,8.68,
ens4f0 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ens4f1-TX Gbit/s,8.42,8.67,8.59,9.21,8.57,8.86,8.66,8.88,8.93,8.83,8.44,8.85,9.41,8.70,9.40,9.21,9.34,9.13,9.47,10.28,8.93,9.15,8.90,9.06,8.74,8.89,8.99,9.17,8.90,9.17,9.37,9.34,8.66,8.77,8.74,8.59,8.53,8.46,8.44,8.43,8.45,8.62,8.68,8.71,8.58,8.83,8.76,8.95,8.80,8.72,8.98,9.26,9.16,8.62,8.62,8.96,8.63,8.51,8.74,8.82,8.55,8.87,8.94,8.52,9.14,9.50,9.31,8.95,9.45,9.34,9.28,9.63,9.09,8.93,9.56,9.25,9.45,9.27,9.29,9.48,9.19,8.71,8.89,8.62,8.81,8.70,8.87,9.03,9.34,8.68,8.48,8.74,8.64,8.75,8.74,8.67,8.79,8.66,8.71,8.89,8.64,8.48,8.74,8.95,8.53,8.57,8.82,8.72,8.91,9.03,9.64,8.55,8.61,8.68,
ens4f1 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU BM(0-19) Total,17.00,20.68,18.37,18.18,19.21,18.70,19.81,17.26,18.08,18.35,19.86,17.38,18.65,19.48,17.30,17.84,18.06,17.34,19.08,17.64,17.90,22.41,17.82,15.16,17.59,15.46,14.66,16.13,16.17,19.08,15.14,15.24,17.62,17.51,15.68,15.02,16.64,16.86,15.25,12.70,15.08,14.70,16.31,15.76,14.79,14.88,16.33,17.80,16.74,16.81,14.66,15.82,15.30,18.05,15.15,17.07,14.51,15.80,15.52,14.80,16.88,17.28,17.32,16.04,18.38,17.04,19.99,17.31,16.49,16.69,17.33,15.24,16.29,14.65,14.91,16.02,16.29,16.83,16.26,17.64,16.80,16.03,15.14,15.48,14.99,16.26,16.87,16.44,15.63,14.98,14.56,16.48,14.60,14.68,17.10,14.23,13.77,15.56,15.96,17.44,17.10,16.77,16.97,17.85,14.23,16.23,14.91,15.50,13.92,16.60,15.23,16.25,14.88,17.30,14.57,
cpu-0 Total,43.16,20.45,20.21,20.21,21.05,18.48,23.23,19.35,18.48,17.39,21.88,17.58,20.00,17.20,14.77,18.95,18.68,16.67,20.21,18.28,15.73,24.21,15.38,18.48,17.39,16.48,18.28,18.95,19.35,22.45,17.39,14.61,17.78,16.85,17.58,18.48,18.68,16.67,16.30,13.64,16.48,16.48,18.28,20.21,17.58,18.48,24.00,19.35,17.39,19.35,19.35,15.73,19.35,18.68,20.65,18.68,16.67,17.78,16.67,20.00,17.58,22.68,19.15,14.77,19.35,20.00,25.74,19.57,23.47,18.48,16.67,16.67,20.83,20.43,21.05,18.28,17.58,20.21,19.35,22.68,21.88,21.28,16.67,13.64,15.56,18.48,16.67,18.28,16.67,17.39,13.95,22.11,17.39,15.56,18.48,21.88,15.73,17.58,17.78,21.28,16.85,18.48,18.68,18.48,15.56,17.58,16.67,17.58,14.77,20.43,19.35,20.43,17.98,17.98,15.56,
cpu-10 Total,0.00,0.00,0.00,1.98,2.00,0.00,0.00,1.98,1.98,0.99,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.98,1.00,1.00,1.98,0.00,0.99,1.00,0.00,1.00,1.98,1.00,0.99,1.00,0.99,1.00,2.94,0.00,0.99,1.00,0.00,1.98,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.98,1.00,1.98,0.00,1.98,1.00,0.00,0.00,0.00,0.00,0.99,1.00,0.00,1.96,1.00,0.00,1.01,1.00,0.00,1.96,0.00,1.00,1.00,1.98,0.00,0.00,1.98,1.00,0.00,0.00,0.00,1.98,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,0.99,1.00,0.00,1.00,0.00,1.00,0.99,1.00,1.00,1.00,1.98,1.00,1.00,0.00,1.00,0.99,0.00,1.98,0.00,1.00,0.00,0.00,
cpu-11 Total,0.00,0.00,1.00,1.00,1.01,0.00,1.00,1.00,0.00,1.00,1.98,0.00,1.98,1.98,1.00,0.00,1.00,1.00,1.00,1.00,1.00,2.94,0.00,1.00,0.99,1.00,0.00,1.00,15.38,14.61,13.64,13.64,13.64,14.12,11.76,9.64,12.79,8.43,1.00,1.00,1.98,0.99,1.00,1.00,0.00,1.98,0.00,1.00,12.64,10.71,10.59,16.48,12.64,14.77,14.77,15.38,11.63,12.64,1.00,1.01,1.00,0.00,1.00,1.00,1.00,1.01,1.00,1.00,7.41,16.67,21.88,15.56,18.28,14.77,12.50,19.79,12.79,15.56,0.00,0.99,1.00,0.00,0.00,0.00,1.98,0.00,1.00,1.00,15.56,11.49,14.77,15.73,14.61,12.50,12.64,12.64,12.64,12.50,1.00,0.00,0.99,1.00,0.99,1.00,0.99,2.94,1.00,0.00,13.64,10.59,11.63,14.61,11.63,9.76,11.49,
cpu-12 Total,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.99,0.00,1.98,0.00,1.00,1.98,1.00,0.00,0.99,1.00,0.99,1.00,1.00,0.00,1.98,0.00,0.99,1.98,0.00,1.00,1.00,0.00,1.00,1.98,0.00,0.00,1.00,0.99,1.00,1.00,1.00,1.98,1.00,1.98,1.00,0.99,1.00,1.00,0.99,1.00,0.00,0.00,0.00,1.00,0.99,1.00,0.00,1.00,1.01,0.00,1.00,0.00,0.99,0.00,1.00,1.98,0.00,0.00,1.00,0.00,0.99,0.00,0.99,0.00,1.00,0.99,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.99,1.98,1.98,0.00,0.99,0.00,1.00,0.00,0.00,0.00,0.00,1.98,1.00,0.00,0.99,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.99,0.00,2.94,0.00,
cpu-13 Total,1.00,1.00,0.00,0.00,1.01,1.98,0.00,0.00,2.00,0.00,0.00,1.98,1.98,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.99,1.98,1.01,1.98,0.00,0.00,0.00,1.00,1.00,0.00,1.96,0.00,1.00,0.00,1.00,1.00,1.98,0.00,1.00,1.00,1.00,1.96,0.00,1.00,1.98,1.98,0.00,1.98,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.98,0.99,1.00,0.00,1.00,1.00,0.99,1.00,1.00,0.00,0.00,0.99,1.00,1.96,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.00,1.98,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.98,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,
cpu-14 Total,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.98,1.00,0.00,1.00,1.00,1.01,1.00,1.00,1.98,1.00,0.00,0.00,1.98,1.00,1.00,0.00,1.00,1.98,0.99,1.00,1.00,0.99,1.00,0.99,1.00,0.99,1.01,0.00,1.98,0.00,0.99,1.98,1.98,1.00,1.00,0.00,1.98,1.01,1.01,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.99,0.00,0.00,1.00,0.00,1.98,1.00,1.00,0.00,0.99,1.00,0.00,1.00,0.99,0.00,1.00,1.00,0.99,1.00,1.00,0.00,1.00,0.99,0.00,0.00,1.00,1.00,1.00,0.00,1.98,0.00,1.00,0.99,0.00,0.00,0.00,1.98,0.00,0.99,0.00,1.00,1.00,0.00,0.99,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.99,1.00,0.00,0.00,0.99,0.00,
cpu-15 Total,1.00,1.00,1.00,0.00,2.00,1.00,1.00,0.00,1.00,0.00,1.98,1.98,0.00,1.00,1.00,1.98,0.99,1.00,0.99,1.00,1.00,1.00,0.99,1.00,1.01,0.00,1.00,1.00,1.00,1.98,0.99,1.98,1.00,1.00,1.96,0.00,0.00,1.01,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.99,1.98,0.00,1.00,1.00,0.00,1.00,1.98,1.00,1.00,0.99,1.00,0.00,0.00,1.98,1.00,0.00,1.00,1.00,0.99,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.99,0.00,1.98,0.00,1.01,1.98,0.00,1.98,1.00,0.00,1.00,1.00,0.99,1.00,0.00,0.99,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.99,0.00,1.98,0.00,0.00,0.00,0.00,1.98,0.00,1.00,
cpu-16 Total,0.99,0.00,1.98,1.01,1.00,0.00,1.98,1.00,1.00,1.00,0.00,0.00,1.00,1.98,0.00,1.00,1.00,1.00,1.00,1.96,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.98,0.00,1.00,0.99,1.00,1.98,0.99,0.00,1.00,0.00,1.98,0.00,1.00,0.99,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.98,1.01,0.00,1.98,1.00,1.00,0.99,0.00,1.00,1.00,1.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.99,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.99,1.00,1.00,0.00,0.00,0.00,0.99,1.00,0.00,0.00,1.98,1.00,0.00,1.00,1.00,0.99,0.00,1.00,0.00,0.00,1.00,2.94,0.00,1.00,0.00,1.00,0.00,
