bm_4096_dangling_8_linux_fwd_nat_500
Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
ens4f0-RX Gbit/s,8.94,8.47,8.84,8.96,8.64,8.81,8.80,8.82,8.73,8.64,8.75,9.20,9.01,8.88,9.35,9.58,8.90,9.07,9.41,9.33,9.31,9.10,8.98,9.34,9.48,9.23,8.97,9.20,9.04,9.05,9.42,9.24,9.21,8.63,8.77,8.73,9.04,9.01,8.65,8.58,8.67,8.89,8.77,8.88,8.80,8.95,8.84,8.64,8.66,8.68,8.72,8.86,8.73,8.68,8.92,8.79,8.77,8.75,8.65,8.63,8.53,8.59,8.64,8.84,8.60,9.31,9.22,9.45,9.29,9.49,9.23,8.95,9.02,9.03,9.32,9.17,9.18,9.25,8.81,9.22,9.39,9.44,9.76,8.99,9.18,8.74,8.51,8.89,8.57,8.74,8.79,8.84,8.90,9.15,8.96,8.78,8.82,8.79,8.89,8.58,8.53,9.18,8.80,8.51,8.63,8.61,8.51,8.63,8.95,8.63,8.81,8.62,8.76,8.46,
ens4f0 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ens4f1-TX Gbit/s,8.94,8.47,8.84,8.96,8.64,8.81,8.80,8.82,8.73,8.64,8.75,9.30,9.01,8.88,9.34,9.59,8.90,9.07,9.41,9.33,9.32,9.10,8.98,9.34,9.48,9.23,8.97,9.20,9.04,8.99,9.45,9.24,9.14,8.61,8.77,8.73,9.04,9.01,8.65,8.58,8.67,8.89,8.77,8.88,8.80,8.95,8.84,8.64,8.66,8.68,8.72,8.86,8.73,8.68,8.92,8.79,8.77,8.75,8.65,8.63,8.53,8.59,8.64,8.84,8.60,9.42,9.21,9.45,9.29,9.50,9.23,8.95,9.01,9.03,9.32,9.17,9.17,9.25,8.81,9.22,9.39,9.44,9.76,8.99,9.09,8.72,8.51,8.89,8.57,8.74,8.79,8.84,8.90,9.15,8.96,8.78,8.82,8.79,8.89,8.58,8.53,9.18,8.80,8.51,8.63,8.61,8.51,8.63,8.95,8.63,8.81,8.62,8.76,8.46,
ens4f1 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU BM(0-19) Total,19.86,27.03,24.84,23.85,28.18,26.37,23.06,24.64,24.33,23.78,24.16,22.47,23.44,21.65,20.98,21.50,23.11,22.98,19.96,23.95,22.03,22.52,21.99,22.38,20.98,23.80,20.70,22.07,19.08,19.67,20.66,22.41,24.72,20.94,24.34,21.33,22.63,22.72,22.93,21.92,19.35,20.54,20.37,21.66,19.66,20.04,19.76,20.20,21.05,18.63,18.83,18.67,19.74,21.39,21.96,19.83,21.90,20.50,21.46,19.43,19.22,20.81,20.07,19.81,21.81,22.07,22.45,21.62,21.78,20.97,22.80,20.74,20.32,20.30,19.75,22.59,22.08,21.59,21.62,19.76,20.51,19.82,20.63,22.22,20.11,21.20,20.64,20.70,21.90,20.27,20.53,20.62,21.42,20.00,19.56,21.27,20.57,21.58,21.28,21.92,21.89,20.07,21.99,21.22,22.03,19.74,19.65,20.18,19.45,18.76,18.98,21.41,21.29,22.89,19.62,
cpu-0 Total,15.62,29.21,25.27,23.91,27.66,23.60,29.29,26.09,27.37,25.00,24.44,25.00,27.84,25.00,23.33,20.45,24.44,26.88,19.54,23.91,25.81,24.18,22.73,23.08,22.47,22.73,23.33,22.47,21.35,24.73,22.47,23.60,24.44,23.33,28.72,25.00,21.84,24.18,25.27,23.60,22.22,17.86,20.69,25.27,20.00,26.88,20.69,21.84,20.69,19.77,19.77,20.45,19.77,25.53,22.47,23.08,23.33,22.47,24.18,21.84,16.87,23.33,25.00,23.08,23.91,25.00,28.12,24.44,23.33,22.73,24.44,25.00,24.18,23.08,27.08,24.73,23.33,25.81,25.00,20.69,23.08,24.18,18.07,22.73,21.18,21.59,24.18,24.18,23.33,20.69,23.60,20.45,21.59,20.45,20.93,22.47,21.18,24.44,20.00,28.42,26.09,22.73,22.47,23.33,21.84,24.18,22.22,23.08,19.77,22.47,20.45,25.27,21.35,22.47,19.54,
cpu-10 Total,30.61,0.00,1.98,0.00,1.00,1.98,0.00,1.00,1.00,0.00,1.96,1.98,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.96,0.00,1.98,0.00,1.98,0.00,1.98,1.00,0.00,0.00,1.98,1.98,1.00,1.00,0.99,0.99,0.00,0.99,0.00,0.00,0.00,0.00,0.00,1.98,1.98,0.00,0.00,1.98,1.00,0.00,0.00,0.00,1.98,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.98,1.00,0.00,0.00,1.98,1.00,1.98,0.00,1.00,0.00,0.00,1.98,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.98,0.00,0.00,1.98,0.00,1.00,1.01,0.99,1.98,1.00,0.00,0.00,0.00,0.00,0.99,1.00,0.00,0.00,0.00,0.00,0.99,1.00,0.00,1.00,0.00,0.00,0.99,1.98,0.00,1.00,1.00,0.99,0.00,1.00,
cpu-11 Total,2.02,0.99,1.00,0.00,1.96,0.00,1.98,0.00,1.98,0.00,1.00,1.00,1.00,1.00,15.12,13.25,17.44,17.44,16.28,21.98,15.29,16.47,15.48,16.28,0.00,0.99,0.00,0.99,1.00,0.00,0.99,0.00,0.00,1.98,15.48,14.29,14.46,15.29,14.46,14.46,13.25,19.78,14.29,13.41,1.00,0.00,0.00,2.94,0.00,0.00,0.00,1.00,1.00,1.98,14.29,12.20,13.41,15.48,14.29,16.28,14.46,12.35,14.12,11.11,0.00,0.00,1.00,1.00,1.96,1.00,1.98,0.00,0.00,1.00,12.05,16.28,16.28,17.24,13.25,15.48,17.05,12.20,14.46,17.44,1.98,1.00,1.00,1.00,1.98,1.00,0.00,0.99,1.00,1.00,10.00,14.63,16.87,16.47,10.00,13.41,12.35,13.58,14.29,14.29,1.00,0.00,1.01,0.00,0.00,1.00,1.00,1.00,0.00,0.00,12.05,
cpu-12 Total,2.00,1.98,0.00,1.00,1.01,1.98,1.01,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.99,0.00,1.00,1.96,1.00,0.00,0.99,1.00,0.00,1.00,0.00,0.00,1.98,0.00,0.00,0.00,1.96,1.00,0.00,1.00,1.00,1.01,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.98,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.98,0.00,1.00,0.00,1.98,1.98,1.00,1.00,1.00,0.00,1.00,1.98,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.99,0.00,0.99,0.00,0.00,0.99,1.00,0.99,0.00,1.00,1.00,0.00,0.00,0.99,0.00,
cpu-13 Total,2.00,1.00,1.00,0.00,1.98,1.00,0.00,1.00,1.01,1.00,0.00,0.00,0.99,0.00,1.98,1.98,0.00,0.00,0.00,1.98,1.00,1.00,0.00,0.99,0.00,1.00,1.00,1.98,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.99,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.98,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.98,1.00,1.00,1.98,0.00,1.00,0.00,1.00,1.98,0.00,1.00,0.00,1.00,0.00,1.00,1.98,0.00,1.98,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.01,0.99,1.98,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.99,1.00,1.98,0.99,1.00,0.00,0.00,0.99,0.00,0.00,1.00,
cpu-14 Total,0.00,1.01,0.99,1.00,1.98,0.00,1.00,1.98,1.00,0.00,1.01,0.00,0.00,1.00,1.00,0.00,1.00,1.98,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.98,0.00,0.00,1.00,0.00,1.00,1.98,0.00,1.98,0.00,0.99,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.98,0.00,0.00,1.01,1.00,0.00,0.00,1.00,1.00,0.00,0.99,0.00,1.00,1.00,1.00,0.99,2.00,1.00,0.99,0.00,0.00,0.99,1.98,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.98,1.00,0.99,0.00,0.00,1.00,1.00,0.00,1.98,1.00,1.00,1.00,1.00,1.98,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.99,0.00,1.00,0.00,0.00,1.00,0.00,0.99,0.00,
cpu-15 Total,1.00,0.99,1.98,0.00,2.00,1.98,0.00,2.00,1.00,1.00,1.01,0.00,0.00,0.00,1.98,0.00,1.01,1.00,0.00,1.00,0.00,0.00,1.00,1.98,0.00,1.98,1.00,1.00,0.99,0.00,0.00,1.00,0.00,1.98,1.00,0.99,0.99,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.98,1.00,1.00,0.99,1.00,0.00,0.00,1.98,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.01,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.01,0.00,1.00,1.98,0.00,0.00,0.00,1.98,0.99,0.00,0.00,1.01,1.01,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.99,1.00,1.00,0.99,1.98,0.00,1.00,0.00,1.96,0.00,0.00,0.00,0.99,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.98,1.00,1.00,
cpu-16 Total,2.00,0.00,0.00,1.98,1.98,1.98,1.00,1.00,1.01,2.94,0.00,1.00,0.00,0.00,1.98,1.00,0.00,1.00,1.01,1.01,1.98,0.00,1.00,1.98,0.00,1.98,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.96,1.98,0.00,0.00,1.00,1.00,1.96,0.00,1.00,1.01,1.00,1.01,1.98,0.00,0.99,0.00,1.98,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.01,1.00,1.00,0.99,1.00,0.00,0.00,1.00,1.98,0.00,1.00,1.00,0.00,1.00,0.00,2.94,0.00,2.00,1.00,1.00,0.99,1.98,0.00,1.98,1.00,0.00,1.00,1.00,0.00,1.00,0.99,1.00,1.00,0.99,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,1.00,1.00,0.99,0.00,1.00,0.99,1.00,1.98,1.00,
