bm_4096_dangling_8_ovs_fwd_offload_500
Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
ens4f0-RX Gbit/s,9.31,9.20,9.27,8.99,9.07,8.71,8.94,8.81,8.90,8.98,8.71,9.36,9.35,9.58,9.68,9.70,9.48,9.63,9.44,9.60,9.77,9.69,9.66,9.46,9.41,9.63,9.48,9.90,9.88,10.05,9.67,9.35,9.53,9.45,9.93,9.73,10.03,9.27,9.25,9.36,9.43,9.21,9.07,9.51,9.38,9.25,9.27,9.29,9.20,8.94,9.08,9.41,9.36,9.11,8.78,9.04,9.17,9.27,9.65,9.34,9.27,9.25,9.17,9.60,9.66,9.83,9.72,9.45,9.82,9.73,9.74,9.96,9.94,9.82,9.66,9.69,9.85,9.94,9.57,9.80,9.53,9.74,9.32,9.33,9.48,10.20,9.71,9.58,9.41,9.34,9.40,9.51,9.30,9.28,9.41,8.86,8.99,9.17,9.21,9.23,8.97,9.34,9.39,10.20,8.85,8.92,9.18,8.98,8.94,9.29,9.48,9.45,9.32,9.65,
ens4f0 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ens4f1-TX Gbit/s,9.31,9.20,9.27,8.99,9.07,8.71,8.94,8.81,8.90,8.98,8.82,9.36,9.35,9.58,9.68,9.70,9.48,9.63,9.44,9.61,9.77,9.69,9.65,9.47,9.40,9.63,9.47,9.90,9.87,9.99,9.66,9.37,9.49,9.45,9.93,9.71,10.06,9.24,9.25,9.36,9.43,9.21,9.07,9.51,9.38,9.25,9.27,9.29,9.20,8.94,9.08,9.41,9.36,9.11,8.78,9.04,9.17,9.27,9.65,9.34,9.27,9.25,9.20,9.69,9.67,9.84,9.71,9.46,9.82,9.73,9.74,9.97,9.93,9.81,9.66,9.70,9.84,9.94,9.57,9.77,9.51,9.75,9.27,9.29,9.49,10.22,9.68,9.58,9.41,9.34,9.40,9.51,9.30,9.28,9.41,8.86,8.99,9.17,9.21,9.23,8.97,9.34,9.39,10.20,8.85,8.92,9.18,8.98,8.94,9.29,9.48,9.45,9.37,9.70,
ens4f1 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU BM(0-19) Total,8.10,1.37,1.12,1.49,1.24,2.61,1.25,1.37,1.62,1.37,2.74,2.85,1.24,1.49,1.61,1.86,1.87,1.62,2.11,1.12,1.62,1.74,1.62,1.99,2.98,1.62,2.23,1.61,2.11,1.86,1.74,2.84,1.36,1.74,1.49,1.86,2.11,1.49,1.98,2.24,1.49,1.12,2.61,1.74,1.99,1.87,2.37,1.61,2.11,2.48,1.99,2.35,1.99,1.99,2.11,1.99,1.99,1.24,2.11,2.48,1.61,1.48,2.61,1.87,1.86,1.62,1.98,2.11,2.35,1.99,2.11,1.37,1.49,1.74,1.49,1.73,1.99,1.49,1.99,2.10,1.11,2.11,2.36,2.24,2.61,1.61,2.36,1.37,1.98,1.24,1.37,2.11,1.24,1.49,1.61,1.62,1.99,1.12,1.99,1.86,1.73,1.49,1.62,1.49,1.62,1.49,2.36,1.37,3.21,1.74,1.24,1.99,2.11,2.24,.87,
cpu-0 Total,5.83,1.00,1.00,1.00,1.00,1.98,1.01,1.00,1.00,1.01,1.98,1.98,0.00,0.00,0.99,1.00,1.98,1.00,1.98,0.00,0.00,1.00,1.00,1.00,1.98,1.00,1.98,0.00,1.01,1.00,0.00,1.98,0.00,1.00,1.00,1.00,1.00,1.00,0.99,1.00,0.00,1.00,2.94,1.00,0.99,2.00,1.98,1.00,1.98,1.00,1.00,1.98,1.00,1.00,1.98,1.00,1.00,0.00,1.00,1.98,0.00,2.91,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.99,1.00,1.01,1.01,0.00,1.98,1.00,0.00,1.00,1.96,0.00,0.00,1.98,1.00,1.00,0.00,0.99,0.99,1.00,1.01,0.99,1.00,0.99,0.00,1.00,0.00,1.00,0.00,1.98,0.00,1.98,1.00,1.00,0.99,1.00,1.01,1.98,1.00,3.88,1.00,0.00,1.98,1.00,1.00,1.98,
cpu-10 Total,1.01,0.00,0.00,1.00,0.99,1.00,0.00,1.00,0.99,1.00,1.00,1.98,1.98,0.00,0.00,1.96,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.99,0.00,1.96,0.00,0.99,0.00,1.00,0.00,1.98,0.00,1.00,1.00,0.00,1.00,0.99,1.98,0.00,0.00,1.00,1.00,1.00,1.00,1.96,1.01,0.99,0.00,0.00,0.00,1.98,0.99,0.00,0.00,0.99,1.00,0.00,0.00,1.00,0.99,1.00,1.00,0.00,0.99,0.00,1.00,0.00,0.00,1.00,0.00,1.98,0.00,0.00,1.00,1.00,1.98,0.99,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.98,0.00,1.00,0.99,0.00,0.00,0.00,0.00,0.99,1.98,1.00,1.00,1.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,1.00,1.98,1.00,0.00,
cpu-11 Total,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.99,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.98,0.00,1.00,1.00,1.00,0.00,1.98,1.00,0.99,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.98,0.00,1.00,0.00,1.98,1.00,0.00,1.98,0.00,1.98,1.00,0.00,1.00,0.00,1.00,1.98,1.00,0.00,0.00,0.99,1.00,0.99,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.99,0.00,1.00,1.00,1.00,1.98,1.00,1.98,0.00,0.99,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.98,0.00,0.00,1.00,0.00,0.00,0.99,1.98,1.00,0.00,1.00,1.00,0.00,0.00,1.01,1.00,0.00,0.99,0.00,
cpu-12 Total,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.99,0.00,0.00,1.00,0.00,0.99,1.00,1.00,1.00,0.00,0.00,1.98,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.96,1.00,0.00,1.00,1.00,0.00,1.00,0.99,0.99,0.00,0.00,0.00,0.00,1.98,0.00,0.00,1.00,0.00,1.00,1.00,1.98,1.00,1.00,0.00,0.00,1.00,1.98,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.98,0.99,1.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.98,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.98,0.00,0.00,1.00,1.00,1.98,0.00,1.00,1.00,0.00,1.00,0.99,
cpu-13 Total,2.00,1.00,1.00,0.99,0.00,0.99,0.00,0.99,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.98,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.99,1.01,0.00,1.00,1.98,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.98,0.99,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,1.98,0.00,1.00,0.00,1.98,0.00,1.00,0.00,1.00,1.00,0.00,0.99,1.00,0.99,1.00,1.98,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.96,0.00,0.00,0.99,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.96,0.00,2.97,0.99,1.00,1.00,1.96,1.01,0.00,
cpu-14 Total,2.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.99,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.99,1.00,0.99,1.00,0.99,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.98,0.00,1.00,0.00,0.99,1.00,1.00,0.99,1.00,0.00,1.98,0.00,1.00,1.00,1.96,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.98,0.00,1.00,0.00,1.00,1.00,1.98,1.00,0.00,1.00,0.00,1.00,1.98,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.01,1.98,0.00,0.99,1.00,0.00,1.00,1.00,0.99,0.00,1.00,1.98,1.00,1.00,0.00,1.00,0.00,
cpu-15 Total,1.01,0.00,0.00,0.00,0.00,1.00,0.99,1.00,0.99,1.01,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,1.00,0.00,0.00,1.00,0.00,0.99,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.99,1.98,1.00,0.00,2.00,1.00,0.00,1.98,0.00,1.00,0.00,1.00,0.00,0.99,0.00,1.00,1.98,1.00,0.00,1.00,0.00,1.00,0.00,1.98,1.00,1.98,0.99,0.00,1.98,1.00,0.00,0.00,0.00,1.00,1.98,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.98,0.00,0.00,1.00,1.00,1.00,1.00,1.98,1.00,1.00,1.00,0.99,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.98,1.00,0.00,1.98,1.00,0.99,0.00,
cpu-16 Total,1.02,1.00,0.00,0.00,0.00,1.01,1.01,0.00,1.00,1.00,1.00,0.99,0.00,0.00,1.00,2.94,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.98,0.99,1.00,1.00,0.00,1.98,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.98,1.00,0.00,1.00,1.00,1.00,1.00,1.01,0.99,1.00,1.00,1.00,0.00,1.98,1.01,2.00,1.00,1.00,1.00,0.00,0.00,1.98,0.00,1.98,1.00,1.00,1.98,1.98,1.00,1.98,0.00,1.00,1.00,0.00,1.00,0.99,0.00,1.98,0.00,0.00,1.98,1.00,0.00,1.00,1.01,1.00,0.99,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.99,1.98,0.99,1.00,0.99,0.00,0.00,0.99,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,
