bm_8192_dangling_4_ovs_fwd_nat_offload_500
Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
ens4f0-RX Gbit/s,10.14,10.15,11.00,10.29,10.25,10.71,10.37,10.42,10.42,10.42,10.39,10.42,10.41,10.42,10.42,10.42,10.40,10.42,10.53,10.54,10.59,10.46,10.58,10.46,10.67,10.79,10.61,10.72,10.82,10.52,10.98,11.11,10.27,11.05,10.90,11.07,10.58,10.87,10.82,10.76,10.75,10.70,10.77,10.85,10.58,10.72,10.50,11.15,10.57,10.77,10.64,10.90,10.49,10.12,10.72,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.53,10.51,10.58,10.53,10.54,10.64,10.69,10.53,10.74,10.66,10.72,10.78,11.06,10.87,10.76,11.03,10.80,10.93,10.67,11.11,11.01,10.54,10.71,10.66,11.28,10.73,10.24,11.20,10.75,10.58,10.52,10.79,10.57,10.16,10.68,10.37,10.47,10.42,10.42,10.42,10.40,10.42,10.42,10.40,10.39,10.42,
ens4f0 packet dropped,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ens4f1-TX Gbit/s,3.72,10.10,10.97,10.31,10.25,10.70,10.37,10.42,10.42,10.42,10.39,10.42,10.41,10.42,10.42,10.42,10.40,10.44,10.53,10.54,10.59,10.45,10.58,10.47,10.68,10.81,10.61,10.74,10.85,10.51,11.00,11.10,10.26,11.05,10.90,11.07,10.58,10.86,10.83,10.77,10.76,10.70,10.77,10.84,10.58,10.71,10.50,11.16,10.54,10.77,10.62,10.87,10.47,10.15,10.69,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.56,10.50,10.59,10.53,10.54,10.65,10.71,10.53,10.76,10.65,10.75,10.77,11.10,10.85,10.77,11.03,10.78,10.94,10.65,11.12,11.17,10.37,10.71,10.65,11.29,10.72,10.22,11.20,10.75,10.55,10.54,10.75,10.55,10.18,10.66,10.39,10.45,10.42,10.42,10.42,10.40,10.42,10.42,10.40,10.39,10.42,
ens4f1 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU BM(0-19) Total,8.75,14.67,24.95,1.74,2.61,1.86,1.87,1.49,2.49,2.61,1.99,1.86,2.36,1.37,2.48,2.11,1.74,2.73,2.49,1.99,2.12,1.86,2.24,2.36,2.11,1.74,1.74,1.98,2.23,2.11,1.49,1.99,2.12,1.87,1.99,1.74,1.87,2.11,1.49,2.24,1.62,1.86,2.97,1.74,2.24,1.99,2.36,2.73,2.48,2.97,1.24,2.24,2.61,2.10,2.23,1.99,2.24,2.60,1.86,3.46,1.62,2.48,1.87,1.99,1.99,1.86,2.48,2.73,1.50,2.24,2.49,1.87,2.23,2.23,2.61,2.60,1.86,2.23,2.49,2.49,1.74,1.74,1.62,2.11,1.74,1.62,1.74,2.35,1.37,1.86,2.60,1.99,1.85,1.74,1.75,1.62,2.23,2.60,2.48,2.61,2.36,2.61,2.73,1.98,2.36,2.48,1.62,2.60,1.86,2.11,1.99,1.86,1.37,2.11,1.86,
cpu-0 Total,5.00,13.40,35.48,0.00,1.98,1.00,2.00,1.98,0.99,1.98,0.00,0.00,1.98,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.98,1.00,0.99,0.00,0.99,0.00,0.99,1.98,0.00,0.00,0.00,1.98,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.98,1.98,1.98,1.98,1.00,1.98,0.00,1.00,0.99,1.00,1.96,0.00,2.94,1.00,0.00,0.00,1.98,1.00,1.00,0.99,1.00,1.98,1.96,0.00,0.00,1.96,1.98,1.00,0.99,1.00,1.00,1.00,1.00,1.00,0.00,1.98,1.00,1.98,0.00,1.00,0.00,1.00,2.00,1.98,0.00,1.00,1.00,2.00,0.00,1.00,1.98,1.98,0.00,0.00,1.98,0.00,0.00,1.96,1.00,0.00,0.99,1.98,0.00,0.00,1.00,0.00,0.99,1.00,1.00,0.00,1.98,0.00,1.00,1.00,
cpu-10 Total,31.31,4.95,6.12,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.99,0.00,1.00,1.00,1.01,0.00,1.00,0.99,1.00,1.00,0.00,1.96,1.00,1.00,1.98,0.99,0.00,1.98,0.00,0.99,1.00,0.00,1.98,1.00,0.00,0.00,0.00,0.00,0.99,1.00,0.00,1.98,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.99,1.00,1.00,1.00,1.98,0.00,1.98,0.99,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.99,0.00,1.98,0.00,1.00,1.98,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.98,0.00,0.00,1.00,0.00,1.01,1.00,0.00,1.98,1.00,1.96,1.01,1.01,1.00,0.00,1.00,1.98,1.00,1.00,1.00,0.00,0.00,0.99,1.00,0.99,1.00,
cpu-11 Total,5.88,2.97,1.02,1.00,1.98,1.00,1.00,0.99,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.96,0.00,1.00,0.00,0.00,1.00,1.96,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.98,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,1.01,1.00,1.98,0.00,1.00,2.94,2.00,1.01,1.00,2.00,1.00,0.00,1.01,1.00,1.98,2.00,1.98,1.01,1.98,1.00,2.00,2.00,0.00,1.00,2.00,1.00,1.01,2.00,1.00,2.00,1.01,0.00,2.94,0.00,1.01,2.00,1.00,0.00,1.00,1.01,1.01,1.98,0.00,1.01,1.98,
cpu-12 Total,4.95,7.14,11.00,1.00,0.00,1.01,0.99,0.00,0.00,0.99,1.98,0.00,0.99,1.00,1.00,0.00,0.00,1.98,1.96,0.00,1.00,0.00,1.00,0.00,0.00,0.99,0.00,1.00,0.00,1.98,0.00,1.00,0.00,0.00,1.00,1.00,0.99,0.00,1.00,0.00,0.00,1.98,0.99,1.00,0.00,0.00,2.00,1.00,1.98,0.00,0.99,0.00,0.00,1.00,1.98,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.98,0.00,1.00,1.00,2.97,0.00,1.00,1.00,1.00,0.00,0.99,0.00,1.00,1.00,0.00,0.00,0.99,0.00,1.00,1.00,1.00,1.98,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.98,0.00,0.99,0.00,1.00,0.00,0.00,1.00,1.96,0.00,1.00,1.00,1.00,1.00,1.00,
cpu-13 Total,1.01,7.14,3.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,2.94,0.00,0.00,0.00,1.00,0.00,1.00,0.99,1.00,1.00,0.00,1.00,1.00,1.98,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,2.94,1.00,1.00,0.99,1.00,1.00,1.98,1.00,0.99,1.00,1.00,0.99,0.00,0.00,0.00,0.00,1.01,0.00,1.98,1.00,1.00,0.00,1.00,1.00,1.98,0.00,1.00,1.01,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.98,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.94,2.00,1.98,0.00,1.98,2.94,0.00,1.00,1.01,1.01,1.00,0.00,0.00,0.00,1.98,1.00,1.00,1.98,0.00,
cpu-14 Total,0.00,4.04,2.02,0.00,2.00,2.94,1.01,0.00,1.00,0.00,1.98,1.98,0.00,1.00,1.00,1.00,1.00,1.98,1.00,1.98,1.00,1.00,1.00,1.98,1.01,1.01,0.00,1.98,1.00,1.00,1.01,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.99,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.01,0.00,0.00,0.00,0.99,0.00,0.99,1.00,0.00,1.98,0.00,0.99,1.00,1.00,1.00,1.00,1.00,1.96,0.00,1.00,1.00,1.98,2.00,1.01,1.00,1.00,1.00,1.00,1.00,1.01,2.00,0.00,2.97,0.00,1.98,0.00,0.99,0.00,1.00,1.00,1.00,0.00,1.98,2.00,1.01,1.98,0.00,1.00,2.00,1.00,1.98,0.00,1.00,1.01,1.00,1.01,0.00,1.01,1.98,1.00,
cpu-15 Total,0.00,6.00,2.08,1.01,1.01,1.98,1.00,1.98,2.00,1.00,2.00,0.00,1.98,0.00,1.01,0.99,2.00,2.00,2.00,1.01,1.01,1.01,0.00,2.00,1.01,1.00,1.00,1.00,0.00,1.98,1.00,1.01,1.01,1.00,0.00,1.98,0.00,1.98,0.00,2.00,1.98,0.00,0.99,0.00,2.00,1.00,1.00,2.94,1.00,1.00,1.00,2.00,2.00,0.00,1.98,1.98,1.00,1.98,1.98,1.01,1.01,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.99,1.98,0.00,1.98,1.98,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.98,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,2.94,0.00,2.00,1.00,2.94,1.00,0.00,1.00,1.00,1.01,1.00,0.00,1.00,1.00,1.98,1.00,1.98,1.98,1.00,1.00,1.00,1.00,0.00,
cpu-16 Total,4.85,2.02,3.00,1.00,1.00,1.00,1.00,0.00,0.00,1.98,0.00,1.00,1.00,1.00,1.00,1.00,1.98,1.98,1.00,1.98,1.98,1.00,0.00,1.01,1.98,0.00,1.01,1.98,0.00,1.01,1.98,1.00,1.01,0.00,2.97,2.97,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.98,1.98,1.98,1.00,1.01,1.01,0.00,0.00,2.00,1.01,1.01,0.00,1.00,1.00,0.00,1.98,2.94,0.00,1.98,1.00,0.00,1.01,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,0.99,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.98,0.00,0.00,0.00,
