bm_8192_dangling_8_ovs_fwd_nat_500
Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
ens4f0-RX Gbit/s,9.44,9.34,9.80,9.30,8.80,9.10,9.09,9.01,8.93,8.84,8.74,8.76,9.33,9.05,9.33,9.15,9.19,9.40,9.44,9.31,9.48,9.56,9.39,9.43,9.43,9.23,9.10,9.41,8.93,9.07,8.91,8.96,8.80,9.10,9.04,9.07,8.70,8.72,8.80,8.70,8.56,8.91,9.17,9.17,8.92,8.81,9.07,9.20,9.32,8.92,8.67,8.75,8.94,9.41,8.84,8.60,8.77,8.84,9.16,9.54,9.07,8.84,8.70,8.99,8.81,9.05,9.46,10.23,9.51,10.56,10.67,9.43,9.54,9.41,9.41,9.93,10.47,9.65,9.94,10.53,10.47,9.50,9.34,9.19,8.76,8.70,8.73,8.99,9.31,9.03,8.94,9.13,9.29,9.05,9.34,9.79,9.76,9.75,9.69,8.66,9.74,9.61,9.56,9.73,9.36,9.01,8.96,9.26,9.39,9.82,9.23,9.06,9.12,10.02,
ens4f0 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ens4f1-TX Gbit/s,9.44,9.34,9.80,9.30,8.80,9.10,9.09,9.01,8.93,8.84,8.74,8.91,9.28,9.06,9.32,9.15,9.19,9.41,9.43,9.31,9.49,9.55,9.40,9.44,9.43,9.23,9.10,9.40,8.93,9.07,8.86,8.92,8.81,9.10,9.02,9.07,8.70,8.72,8.80,8.70,8.56,8.91,9.17,9.17,8.92,8.81,9.07,9.20,9.32,8.92,8.67,8.75,8.94,9.41,8.84,8.60,8.77,8.84,9.16,9.54,9.07,8.84,8.70,8.99,8.81,9.15,9.47,10.23,9.51,10.56,10.67,9.42,9.54,9.41,9.40,9.93,10.48,9.64,9.95,10.53,10.48,9.49,9.30,9.17,8.71,8.70,8.75,8.99,9.31,9.02,8.94,9.13,9.29,9.05,9.34,9.79,9.76,9.75,9.69,8.66,9.74,9.61,9.56,9.73,9.36,9.01,8.96,9.26,9.39,9.82,9.23,9.06,9.12,10.02,
ens4f1 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU BM(0-19) Total,15.70,15.02,14.31,13.82,16.38,12.34,13.63,13.75,12.64,13.00,14.38,13.41,14.30,13.75,12.29,13.30,14.59,13.32,14.34,14.11,12.65,13.05,14.98,15.40,12.37,15.36,13.15,13.45,14.26,13.64,16.39,11.00,12.04,11.30,9.57,10.13,11.44,10.62,9.88,10.36,9.35,10.75,9.33,10.15,9.58,12.31,9.16,10.32,10.74,12.50,10.10,10.18,12.00,13.63,9.98,15.39,11.38,11.53,12.51,15.70,13.47,12.97,14.73,13.21,11.73,13.24,14.15,13.65,14.50,12.06,10.83,14.16,12.09,11.81,10.70,11.37,12.31,14.15,15.08,11.50,9.84,13.25,13.19,12.37,12.24,12.70,10.89,13.64,12.52,10.49,11.44,12.90,12.38,11.48,11.02,11.68,12.68,11.84,13.09,10.28,10.14,9.60,10.10,10.65,11.56,12.36,10.49,10.99,12.69,10.52,14.08,10.82,11.70,12.82,11.30,
cpu-0 Total,12.12,13.33,13.19,15.96,14.13,14.13,14.74,14.89,11.11,13.98,13.98,10.99,18.37,13.68,14.89,13.83,13.83,10.99,16.49,13.83,16.67,15.05,17.89,15.22,16.84,19.59,16.13,16.84,15.22,18.95,18.56,14.13,13.19,13.19,10.99,8.05,15.79,9.09,10.99,10.00,12.90,11.96,11.83,11.96,10.99,14.13,8.99,9.09,11.11,11.11,9.20,9.09,14.89,11.11,12.09,16.30,15.05,18.56,15.05,22.22,17.39,17.39,17.20,19.59,13.19,18.75,12.22,20.00,15.05,16.13,15.96,17.02,16.30,14.89,13.04,13.98,10.99,15.79,21.43,15.05,15.05,14.29,12.50,15.79,15.05,18.56,12.09,13.98,14.89,11.24,16.13,13.19,13.19,11.11,12.22,13.19,14.89,12.09,17.02,9.30,8.24,11.36,10.99,11.36,13.19,15.05,10.23,12.22,12.09,11.96,11.24,11.24,13.33,13.98,11.24,
cpu-10 Total,1.98,0.00,1.00,1.00,1.00,0.99,0.00,1.98,0.99,1.00,0.00,0.99,1.00,1.00,1.01,2.00,1.96,1.00,1.00,1.98,1.00,1.00,1.00,1.00,0.00,1.00,1.00,2.00,1.98,0.00,1.98,0.00,1.00,0.00,0.00,0.00,1.98,0.00,0.00,1.00,1.00,1.98,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.96,1.00,1.00,1.00,0.99,0.00,1.98,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.98,1.00,0.99,0.00,0.00,1.00,0.00,1.96,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.98,1.00,0.00,0.00,1.98,0.00,2.94,1.00,1.01,0.00,1.98,1.00,0.00,1.00,1.98,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.98,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,
cpu-11 Total,2.00,1.00,0.00,1.00,1.98,1.00,0.00,1.00,1.00,2.94,1.01,1.01,1.98,0.00,0.00,7.69,10.75,9.89,11.70,13.68,10.87,10.87,14.89,12.09,7.95,3.96,1.01,1.01,1.01,1.00,1.00,1.98,1.01,1.00,0.00,7.95,7.87,10.87,7.87,9.89,8.79,10.75,9.78,7.87,5.75,1.98,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.99,15.96,8.05,7.95,6.90,14.74,11.36,10.34,11.24,8.05,8.99,0.00,0.99,0.00,0.99,0.99,1.00,1.00,0.00,1.00,0.99,10.87,9.89,11.96,9.20,7.95,6.90,6.98,7.06,6.90,10.87,1.00,0.00,0.00,0.00,0.00,1.00,0.99,1.00,1.00,1.00,9.89,12.90,8.89,12.09,6.90,9.09,7.95,5.68,6.98,8.99,1.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,0.99,0.00,
cpu-12 Total,2.97,0.00,0.99,0.00,1.00,0.00,1.00,1.00,0.99,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.98,3.92,0.00,1.00,0.00,1.00,1.98,0.00,1.98,1.00,0.00,0.99,0.00,1.00,1.00,1.00,0.00,1.98,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.98,0.00,1.00,1.00,1.98,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.98,1.00,0.00,1.98,0.00,0.00,1.98,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.99,1.00,0.99,1.00,0.99,1.00,0.00,0.99,0.00,0.00,0.00,0.00,0.99,0.00,1.00,1.00,0.99,0.00,1.00,1.00,0.00,1.98,0.99,1.00,0.99,
cpu-13 Total,2.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.98,1.00,0.00,0.00,1.98,1.00,1.00,0.00,1.00,1.01,1.00,0.00,1.00,1.98,1.01,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.01,0.00,0.00,0.99,0.00,1.00,2.94,0.99,0.00,1.00,1.98,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.99,0.00,0.99,1.00,0.99,1.00,0.00,1.00,0.00,0.99,1.00,0.00,1.00,0.99,1.00,1.00,0.00,0.00,0.00,0.99,1.00,0.99,1.00,1.98,0.99,1.00,0.00,1.00,0.00,1.00,1.96,0.00,0.99,0.00,0.00,1.00,1.00,0.00,1.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.96,0.00,1.00,0.00,0.00,1.00,1.98,1.00,1.00,1.00,0.00,1.00,0.99,
cpu-14 Total,0.00,0.00,1.00,0.00,0.99,0.00,1.96,1.98,0.00,1.00,1.00,1.98,1.98,1.00,0.00,1.01,0.00,1.98,0.00,1.00,1.00,1.00,0.00,2.94,1.01,1.00,1.00,1.98,1.00,1.00,1.00,1.00,0.99,0.00,0.99,1.00,0.00,1.98,1.00,0.00,0.00,0.00,1.98,1.01,1.00,0.00,1.98,1.00,0.00,1.98,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.98,0.00,1.00,1.98,1.00,0.00,1.00,0.00,1.00,1.01,0.99,0.00,2.00,1.01,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.98,1.00,1.00,1.00,1.00,0.00,1.98,1.00,1.00,0.99,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,2.00,2.97,1.00,1.98,1.98,1.00,1.00,0.00,1.00,
cpu-15 Total,2.97,1.00,1.98,1.01,1.98,0.00,1.00,1.00,1.00,1.00,1.00,0.99,0.00,0.00,1.00,1.00,1.00,1.01,1.98,1.00,1.00,1.00,1.98,1.98,1.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,1.96,1.00,0.00,0.99,0.00,0.00,0.99,0.00,1.00,0.00,0.00,0.99,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,1.00,1.00,1.00,0.99,0.00,0.00,1.00,0.00,0.99,1.00,1.00,1.00,1.00,0.00,1.98,0.99,1.00,1.98,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.98,1.00,1.98,0.00,0.00,1.00,1.98,0.00,1.00,0.00,1.00,0.99,0.00,1.00,0.00,0.99,1.00,1.00,1.00,1.98,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,
cpu-16 Total,3.96,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.99,1.00,1.00,1.00,1.00,1.98,1.00,1.98,1.00,0.00,0.99,0.00,0.00,1.98,0.00,1.00,1.00,1.00,1.00,0.00,1.98,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.98,1.00,0.00,0.00,1.00,0.00,1.00,0.99,1.00,0.00,1.00,0.00,1.98,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.98,0.00,0.00,1.98,0.00,0.99,1.00,1.98,1.98,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.99,1.00,1.98,0.99,0.00,1.00,2.00,1.00,1.00,1.00,0.99,1.00,1.00,1.98,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.01,0.99,1.98,0.00,0.00,1.00,0.00,1.98,1.00,1.00,
