sriov_1024_dangling_4_linux_fwd_1000
Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
enp4s0,19.52,17.79,18.61,17.69,18.76,18.01,19.17,18.42,18.39,19.22,19.04,18.88,17.33,19.02,18.35,18.10,17.14,19.20,17.64,18.12,17.98,18.12,18.64,18.64,17.52,17.31,18.07,17.96,17.58,17.62,17.79,18.62,18.68,17.78,17.85,17.96,17.90,17.89,17.51,18.04,18.18,18.71,18.15,17.76,18.07,18.63,18.48,18.00,18.10,18.71,18.23,18.32,18.23,18.43,17.99,18.66,18.55,18.66,17.97,18.30,18.66,18.42,18.41,18.70,18.44,17.76,17.81,18.71,17.84,18.37,17.83,17.93,18.65,18.03,18.07,19.07,18.01,17.68,19.19,18.42,17.81,17.71,18.71,18.23,18.09,18.39,19.09,18.37,19.05,18.03,18.39,18.29,17.84,17.78,17.51,17.94,17.64,18.62,18.02,17.80,18.08,17.95,17.94,18.57,18.44,18.06,18.27,18.25,18.01,17.53,18.10,17.75,18.08,18.21,
enp4s0 dropped,103778,273676,274625,296556,273703,183800,166162,190539,168221,155397,175542,194708,209329,157414,222910,226790,204047,154806,202967,207969,198837,202225,230208,275992,286633,276854,272532,192266,206638,185767,219323,214414,201670,208320,174870,169018,174768,195347,201785,205358,189319,175286,184852,206707,280848,238019,285684,284262,286834,210856,166660,203524,197548,210862,217224,189872,193608,200815,201079,194633,190692,182450,202566,201740,178008,183978,237930,250154,265440,278185,263311,251520,196449,199744,191300,178029,203518,208193,186968,184521,204301,197315,205894,205105,218114,197509,198402,202561,243233,306280,265338,280088,265360,225082,196512,194956,211085,175336,203571,202016,181369,166277,185466,210443,197358,196125,199825,167318,213235,182093,198940,271517,265614,266801,275501,
enp5s0,17.24,15.50,16.13,15.40,17.24,16.62,17.58,17.02,17.09,17.76,17.42,17.13,16.01,17.17,16.46,16.39,15.85,17.50,15.88,16.48,16.30,16.21,16.33,16.24,15.20,15.04,16.45,16.24,16.04,15.79,16.00,16.96,16.93,16.33,16.44,16.50,16.28,16.19,15.79,16.46,16.72,17.17,16.44,15.51,16.04,16.25,16.11,15.60,16.34,17.32,16.54,16.67,16.49,16.60,16.43,17.03,16.87,16.98,16.34,16.72,17.14,16.74,16.73,17.21,16.90,15.79,15.73,16.50,15.54,16.16,15.74,16.29,16.99,16.43,16.58,17.38,16.28,16.12,17.66,16.72,16.16,16.00,17.00,16.41,16.46,16.72,17.40,16.35,16.49,15.82,16.05,16.06,15.96,16.13,15.86,16.18,16.20,16.91,16.32,16.29,16.70,16.39,16.19,16.92,16.81,16.39,16.88,16.48,16.49,15.87,15.84,15.52,15.85,15.92,
enp5s0 dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cpu-0 idle,0.00,1.98,5.71,1.98,1.00,2.94,2.94,1.98,2.94,2.00,2.00,2.94,4.81,2.97,2.97,1.98,3.92,1.98,1.01,2.97,1.00,2.94,2.00,1.98,2.94,6.60,7.55,2.97,2.00,2.00,2.00,0.00,2.97,2.97,2.00,2.00,1.98,3.88,6.60,8.41,2.94,1.98,1.98,1.01,2.94,1.00,2.94,2.00,3.92,2.94,2.97,1.98,1.98,2.97,1.98,2.97,1.98,1.00,2.91,2.97,1.01,2.94,2.94,1.00,2.00,2.97,2.97,1.98,1.01,1.00,1.01,1.00,1.01,2.00,1.00,1.98,3.88,2.94,2.00,2.97,1.00,1.00,1.98,1.98,1.00,2.00,1.98,2.00,3.92,0.00,2.00,3.92,1.00,1.98,2.94,1.00,2.94,1.01,2.00,3.88,1.00,0.00,3.92,3.88,0.00,2.94,1.00,1.98,2.97,1.98,1.96,2.00,2.94,2.00,1.00,
cpu-1 idle,24.24,89.00,74.00,80.81,72.45,80.00,79.00,80.81,79.80,81.19,83.33,83.00,79.80,73.27,77.78,76.24,74.75,74.75,80.81,75.25,78.79,75.76,81.00,80.41,80.00,74.75,75.00,75.00,76.00,76.77,73.74,74.75,75.25,85.44,76.53,78.22,79.80,81.19,75.76,75.76,73.27,81.00,78.22,81.82,77.23,73.74,78.00,75.76,78.22,74.00,75.00,81.82,77.23,76.24,76.00,75.76,75.76,79.00,78.57,78.22,75.25,76.00,79.00,77.78,78.22,79.00,81.19,74.75,76.47,80.00,78.57,77.00,73.74,74.51,76.53,74.26,77.23,81.19,75.00,72.73,85.86,77.00,75.00,73.47,78.22,78.64,79.80,76.53,83.00,77.00,79.00,77.88,79.21,78.00,75.25,75.76,75.25,81.00,73.79,81.63,76.00,77.23,77.23,80.00,76.77,75.76,79.80,79.00,77.45,79.80,77.08,77.78,75.00,79.80,77.23,
cpu-2 idle,24.00,87.13,73.74,80.81,71.43,79.80,80.20,79.80,78.22,81.00,84.00,83.17,79.00,73.74,79.00,76.00,75.00,73.74,80.00,74.75,73.74,75.76,79.00,81.00,81.00,74.00,73.27,77.45,75.00,77.23,76.00,73.74,75.00,85.00,76.77,76.29,78.79,77.78,78.35,75.25,75.49,77.00,81.00,82.65,80.39,74.26,78.00,79.17,77.78,74.75,75.51,81.00,76.24,76.77,75.51,77.00,77.32,79.41,77.55,77.78,75.00,76.53,79.21,76.77,75.76,84.16,77.08,74.23,75.49,81.00,75.76,79.21,74.00,75.25,78.43,78.43,76.00,80.00,74.00,74.00,85.00,77.00,74.49,72.73,78.79,79.61,79.41,76.77,82.65,77.88,78.22,76.77,79.21,78.43,75.00,75.26,74.51,75.49,73.74,80.41,75.76,76.24,77.00,79.41,77.23,76.77,80.20,80.20,78.43,80.00,77.78,78.00,75.25,80.20,76.77,
cpu-3 idle,24.00,84.00,74.26,79.21,76.04,82.65,77.00,82.83,81.19,81.63,86.27,80.81,81.82,75.00,79.00,75.76,78.00,75.00,80.81,74.75,79.00,76.00,80.81,81.63,79.59,75.00,72.00,76.29,74.00,76.77,73.74,73.00,74.75,85.00,75.25,76.53,79.00,77.55,77.55,78.79,74.75,77.55,80.61,80.81,80.20,73.74,77.78,80.00,77.78,73.74,75.76,81.19,76.00,77.00,74.49,76.77,78.35,79.21,77.32,77.78,75.00,76.53,77.55,77.00,76.00,82.18,77.55,74.23,75.76,81.19,74.49,79.80,73.00,74.00,79.00,78.85,75.00,79.80,73.47,72.73,84.00,77.78,74.00,74.26,77.55,77.23,79.80,76.77,82.18,77.00,79.00,76.77,79.21,77.00,74.75,74.75,74.49,74.26,73.27,80.41,76.00,76.24,76.77,79.00,76.92,76.00,80.00,79.00,78.22,80.20,77.55,77.78,76.00,79.00,77.23,
cpu-4 idle,24.00,89.90,73.00,81.00,72.00,80.20,79.21,81.00,78.00,81.82,84.00,82.00,79.80,74.26,78.00,76.00,74.26,75.76,80.00,75.00,73.47,76.24,80.00,80.20,79.80,75.49,73.00,77.00,74.00,76.77,74.26,73.47,74.26,85.86,75.76,76.77,80.00,76.77,78.35,77.78,73.47,77.55,81.44,82.00,80.39,74.51,78.00,79.59,77.55,73.74,76.00,81.82,75.00,77.00,76.24,76.77,77.32,79.80,77.78,77.78,75.49,76.00,79.80,77.00,75.76,84.16,77.32,74.49,76.24,81.00,75.00,80.58,73.00,74.26,78.22,78.64,76.00,80.00,73.53,73.27,85.00,77.00,75.00,72.73,79.00,77.88,79.80,76.53,80.81,76.29,79.00,77.00,79.41,77.78,75.00,75.00,75.00,74.00,73.74,80.81,76.00,76.00,77.23,79.21,80.00,75.76,78.22,80.00,78.22,78.22,76.29,76.53,76.47,77.00,76.00,
cpu-5 idle,28.00,83.00,74.75,79.00,75.79,82.18,77.32,82.83,80.81,80.81,86.00,80.61,81.63,75.25,78.79,76.00,76.77,75.51,81.19,74.75,77.78,76.00,81.00,81.44,79.38,75.76,74.00,75.25,74.75,76.24,75.00,74.00,75.00,84.31,76.00,77.78,80.00,80.00,75.26,75.00,71.72,81.00,77.78,80.81,79.00,74.00,77.78,76.53,78.22,74.00,75.51,81.00,77.00,76.77,75.00,76.00,74.49,79.00,78.22,78.00,75.25,75.00,80.00,76.77,78.22,81.00,80.20,74.49,75.49,81.00,78.00,76.77,72.00,74.26,76.00,74.00,77.23,80.20,74.00,73.27,85.00,77.45,72.73,75.25,82.83,76.00,75.49,76.53,82.83,80.39,80.00,79.80,79.00,78.00,75.25,75.00,75.00,80.20,74.00,80.00,75.76,77.78,77.23,80.20,80.00,76.00,79.21,79.21,78.22,78.79,77.55,77.00,75.00,80.00,77.23,
